,id_hecho,fecha,año,mes,dia,rol,victima,sexo,edad,fecha_fallecimiento
426,2018-0139,2018-12-22,2018,12,22,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,28,2018-12-24
427,2018-0140,2018-12-22,2018,12,22,CONDUCTOR,AUTO,MASCULINO,78,2018-12-22
428,2018-0141,2018-12-22,2018,12,22,PEATON,PEATON,MASCULINO,75,2018-12-24
429,2018-0142,2018-12-25,2018,12,25,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,32,2019-01-01
430,2018-0143,2018-12-29,2018,12,29,CONDUCTOR,MOTO,MASCULINO,22,2018-12-29
431,2019-0001,2019-01-08,2019,1,8,CONDUCTOR,MOTO,MASCULINO,25,2019-01-08
432,2019-0002,2019-01-09,2019,1,9,CONDUCTOR,AUTO,MASCULINO,32,2019-01-09
433,2019-0003,2019-01-12,2019,1,12,CONDUCTOR,MOTO,MASCULINO,23,2019-01-12
434,2019-0004,2019-01-14,2019,1,14,CONDUCTOR,AUTO,MASCULINO,71,2019-01-14
435,2019-0005,2019-01-19,2019,1,19,CONDUCTOR,MOTO,MASCULINO,43,2019-01-19
436,2019-0006,2019-01-23,2019,1,23,PEATON,PEATON,FEMENINO,12,2019-01-23
437,2019-0007,2019-01-26,2019,1,26,CONDUCTOR,MOTO,MASCULINO,35,2019-01-26
438,2019-0008,2019-01-30,2019,1,30,CONDUCTOR,MOTO,MASCULINO,42,2019-01-31
439,2019-0009,2019-01-31,2019,1,31,CONDUCTOR,MOTO,MASCULINO,34,2019-01-31
440,2019-0010,2019-02-02,2019,2,2,PEATON,PEATON,MASCULINO,0,2019-02-02
441,2019-0010,2019-02-02,2019,2,2,PEATON,PEATON,MASCULINO,59,2019-02-02
442,2019-0011,2019-02-10,2019,2,10,PEATON,PEATON,MASCULINO,0,2019-02-10
443,2019-0012,2019-02-17,2019,2,17,CONDUCTOR,MOTO,MASCULINO,31,2019-02-20
444,2019-0013,2019-02-20,2019,2,20,PEATON,PEATON,MASCULINO,39,2019-03-02
445,2019-0014,2019-02-20,2019,2,20,CONDUCTOR,MOTO,MASCULINO,69,2019-02-20
446,2019-0015,2019-02-23,2019,2,23,CONDUCTOR,AUTO,MASCULINO,21,2019-02-23
447,2019-0016,2019-02-24,2019,2,24,CONDUCTOR,MOTO,MASCULINO,40,2019-02-24
448,2019-0017,2019-03-03,2019,3,3,CONDUCTOR,AUTO,MASCULINO,22,2019-03-07
449,2019-0018,2019-03-03,2019,3,3,PEATON,PEATON,FEMENINO,29,2019-03-03
450,2019-0019,2019-03-06,2019,3,6,CONDUCTOR,MOTO,MASCULINO,0,
451,2019-0020,2019-03-07,2019,3,7,CONDUCTOR,MOTO,MASCULINO,43,2019-03-07
452,2019-0021,2019-03-15,2019,3,15,CONDUCTOR,MOTO,MASCULINO,23,2019-03-16
453,2019-0022,2019-03-15,2019,3,15,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,0,2019-03-15
454,2019-0023,2019-03-16,2019,3,16,CONDUCTOR,AUTO,MASCULINO,34,2019-03-16
455,2019-0024,2019-03-19,2019,3,19,CONDUCTOR,MOTO,MASCULINO,32,2019-03-19
